Date,Time,Main_Temp_F,Main_Humidity_pct,Basement_Temp_F,Basement_Humidity_pct,BedroomAqara_Temp_F,BedroomAqara_Humidity_pct,BedroomHomePod_Temp_F,BedroomHomePod_Humidity_pct,Crawlspace_Temp_F,Crawlspace_Humidity_pct
2026-07-13,13:30,70.7°F,54,79.16°F,49,75.56°F,55,73.04°F,56,74.84°F,64,37.58°F
2026-07-13,17:00,69.26°F,56,79.52°F,46,73.04°F,47,67.46°F,53,75.92°F,66,39.2°F
2026-07-13,18:02,69.44°F,56,78.62°F,54,75.02°F,51,69.44°F,57,76.46°F,68,35.06°F
2026-07-13,19:00,69.26°F,56,80.06°F,49,75.56°F,51,69.8°F,58,76.64°F,67,39.56°F
2026-07-13,19:33,69.08°F,56,80.06°F,49,75.74°F,50,69.8°F,57,76.64°F,64,38.48°F
2026-07-13,21:00,69.26°F,56,78.98°F,47,74.66°F,46,72.14°F,46,76.82°F,63,35.24°F
2026-07-13,23:01,69.26°F,56,77.18°F,48,75.38°F,52,71.06°F,58,76.28°F,62,37.58°F
2026-07-14,00:58,70.88°F,56,77.72°F,45,76.28°F,53,71.24°F,53,76.1°F,65,42.26°F
2026-07-14,01:43,69.62°F,54,76.46°F,47,76.1°F,51,72.32°F,55,75.74°F,60,44.42°F
2026-07-14,06:00,71.42°F,54,76.28°F,45,76.1°F,54,73.76°F,54,75.02°F,53,37.22°F
2026-07-14,09:00,71.42°F,54,75.92°F,45,74.66°F,50,72.86°F,53,74.48°F,58,39.2°F
2026-07-14,13:30,68.36°F,56,79.16°F,46,75.74°F,50,72.68°F,56,75.56°F,65,42.08°F
2026-07-14,17:00,69.08°F,56,75.38°F,51,77.54°F,47,69.8°F,56,77.36°F,69,39.56°F
2026-07-14,18:02,69.08°F,56,75.38°F,51,77.72°F,45,69.8°F,55,77.72°F,69,38.3°F
2026-07-14,19:00,69.08°F,56,79.88°F,48,78.44°F,47,69.8°F,56,78.08°F,68,38.84°F
2026-07-14,21:00,69.26°F,58,78.44°F,47,74.66°F,44,69.62°F,50,77.9°F,66,45.68°F
2026-07-14,23:01,70.34°F,56,77.9°F,46,76.46°F,51,72.32°F,51,77°F,59,35.06°F
2026-07-15,00:58,69.8°F,54,77.18°F,46,76.46°F,48,71.78°F,51,76.28°F,55,44.42°F
2026-07-15,01:09,70.52°F,54,77.18°F,46,76.46°F,48,72.32°F,53,76.28°F,55,45.14°F
2026-07-15,06:00,70.16°F,54,76.28°F,45,76.1°F,51,73.4°F,53,74.84°F,53,36.5°F
2026-07-15,09:00,70.16°F,54,76.46°F,44,75.38°F,53,73.04°F,50,74.84°F,60,37.22°F
2026-07-15,13:30,68.72°F,54,75.2°F,51,75.56°F,49,69.8°F,55,76.46°F,66,45.68°F
2026-07-15,17:00,70.34°F,58,80.42°F,49,75.56°F,48,69.62°F,55,79.34°F,72,43.16°F
2026-07-15,18:02,70.7°F,58,79.34°F,49,75.56°F,48,69.62°F,55,79.52°F,73,44.78°F
2026-07-15,19:00,70.7°F,58,78.62°F,49,75.56°F,47,69.8°F,54,79.7°F,72,37.94°F
2026-07-15,21:00,70.16°F,58,77.54°F,49,74.84°F,47,69.8°F,56,79.52°F,69,33.44°F
2026-07-15,23:01,69.08°F,56,76.28°F,49,76.64°F,49,69.8°F,57,78.8°F,68,34.34°F
2026-07-16,00:58,69.62°F,56,77.54°F,46,76.82°F,52,71.96°F,54,77.9°F,56,33.98°F
2026-07-16,01:42,69.98°F,56,76.46°F,50,76.64°F,49,70.16°F,55,77.9°F,69,40.1°F
2026-07-16,06:00,70.34°F,54,76.82°F,45,76.46°F,53,73.04°F,53,75.56°F,53,33.98°F
2026-07-16,09:00,70.52°F,54,78.26°F,59,74.84°F,51,72.86°F,52,75.74°F,74,41°F
2026-07-16,13:30,69.08°F,58,76.46°F,53,74.84°F,50,69.8°F,56,76.82°F,73,36.5°F
2026-07-16,17:00,70.52°F,58,79.16°F,48,73.94°F,49,69.8°F,55,77.9°F,68,45.86°F
2026-07-16,18:02,70.16°F,60,78.08°F,48,74.3°F,51,69.8°F,56,78.62°F,70,38.84°F
2026-07-16,19:00,69.8°F,60,77.36°F,50,74.12°F,50,69.44°F,55,78.44°F,70,35.06°F
2026-07-16,21:00,68.54°F,58,75.74°F,48,74.84°F,51,69.8°F,56,78.08°F,65,36.86°F
2026-07-16,23:01,69.44°F,58,78.44°F,46,75.74°F,51,71.6°F,54,77°F,64,35.24°F
2026-07-17,00:58,68.72°F,56,78.44°F,45,75.92°F,52,72.86°F,55,76.46°F,63,45.32°F
2026-07-17,06:00,71.06°F,56,77.54°F,45,76.46°F,54,73.22°F,58,75.02°F,68,39.74°F
2026-07-17,09:00,70.52°F,54,76.28°F,58,75.02°F,52,72.32°F,53,74.84°F,64,38.48°F
2026-07-17,13:30,69.26°F,56,75.92°F,48,73.22°F,48,69.62°F,52,74.66°F,65,42.08°F
2026-07-17,17:00,68.36°F,56,74.84°F,48,73.94°F,51,68.54°F,54,75.56°F,63,40.46°F
2026-07-17,18:02,67.64°F,56,74.84°F,48,75.2°F,51,69.98°F,56,75.74°F,63,39.38°F
2026-07-17,19:00,67.64°F,56,74.66°F,49,75.38°F,50,69.44°F,56,76.1°F,65,45.68°F
2026-07-17,21:00,69.08°F,56,74.84°F,47,75.02°F,47,68.36°F,54,76.1°F,68,35.96°F
2026-07-17,23:01,69.08°F,58,77.9°F,46,75.38°F,52,70.7°F,58,75.56°F,59,42.44°F
2026-07-18,00:58,68.9°F,56,77.36°F,45,75.74°F,54,71.42°F,60,75.56°F,57,33.62°F
2026-07-18,06:00,71.42°F,54,76.82°F,44,75.56°F,53,72.5°F,58,74.84°F,53,39.02°F
2026-07-18,09:00,71.06°F,54,76.64°F,44,75.02°F,54,72.5°F,57,74.84°F,63,41.36°F
2026-07-18,13:30,70.52°F,58,75.56°F,49,74.48°F,52,69.26°F,58,77.36°F,75,38.66°F
2026-07-18,17:00,69.8°F,58,77.54°F,51,74.12°F,51,69.98°F,54,77.18°F,72,43.52°F
2026-07-18,18:02,69.08°F,58,76.1°F,50,75.02°F,51,69.8°F,57,77.9°F,77,40.28°F
2026-07-18,19:00,69.08°F,58,75.74°F,50,75.56°F,50,69.26°F,58,77.72°F,71,32.54°F
2026-07-18,21:00,69.8°F,58,76.1°F,48,75.02°F,49,69.98°F,53,76.1°F,73,45.14°F
2026-07-18,23:01,70.16°F,56,75.92°F,54,75.38°F,51,71.24°F,53,75.56°F,74,40.46°F
2026-07-19,00:58,70.7°F,56,78.44°F,47,75.2°F,54,72.86°F,57,75.74°F,63,40.82°F
2026-07-19,06:00,70.16°F,54,76.1°F,47,74.84°F,52,70.88°F,57,74.3°F,64,37.76°F
2026-07-19,09:00,69.08°F,54,75.38°F,47,74.3°F,53,70.16°F,57,73.58°F,68,42.98°F
2026-07-19,13:30,69.08°F,56,77°F,45,73.76°F,50,69.62°F,54,74.3°F,68,35.6°F
2026-07-19,17:00,69.98°F,54,76.64°F,44,75.38°F,51,72.14°F,53,74.66°F,64,38.84°F
2026-07-19,18:02,69.8°F,54,76.1°F,44,75.2°F,47,71.6°F,48,74.48°F,58,36.86°F
2026-07-19,19:00,70.34°F,54,77°F,44,74.66°F,45,71.6°F,45,74.48°F,57,40.64°F
2026-07-19,19:51,71.78°F,54,77.36°F,43,76.1°F,52,73.04°F,52,74.84°F,57,42.44°F
2026-07-19,21:00,70.88°F,52,76.82°F,44,76.46°F,50,72.68°F,53,74.84°F,56,46.04°F
2026-07-19,23:01,72.32°F,52,76.46°F,43,75.56°F,49,72.5°F,49,74.48°F,66,43.88°F
2026-07-20,00:58,71.78°F,52,76.46°F,44,75.74°F,51,72.86°F,53,73.76°F,66,37.58°F
2026-07-20,06:00,72.5°F,52,75.56°F,46,74.12°F,52,72.68°F,52,72.14°F,66,45.14°F
2026-07-20,09:00,72.5°F,52,75.2°F,46,73.4°F,53,72.32°F,53,71.96°F,64,35.6°F
2026-07-20,13:30,72.5°F,52,75.38°F,44,73.58°F,47,71.24°F,47,72.86°F,66,39.2°F
2026-07-20,17:00,70.34°F,52,75.2°F,45,75.56°F,46,71.24°F,48,74.12°F,57,34.88°F
2026-07-20,18:02,70.34°F,52,74.66°F,45,74.48°F,43,69.08°F,47,74.48°F,64,39.74°F
2026-07-20,19:00,70.34°F,52,74.84°F,45,74.12°F,45,69.44°F,46,74.3°F,59,37.04°F
2026-07-20,21:00,70.7°F,50,76.28°F,44,74.12°F,47,71.24°F,49,74.84°F,55,45.32°F
2026-07-20,23:01,71.96°F,50,76.64°F,44,73.94°F,44,69.8°F,46,74.66°F,66,37.04°F
2026-07-21,00:58,71.96°F,50,76.28°F,44,75.38°F,51,73.04°F,50,74.66°F,66,38.84°F
2026-07-21,06:00,71.06°F,50,75.56°F,46,73.94°F,49,72.5°F,48,73.94°F,73,33.98°F
2026-07-21,09:00,73.04°F,52,75.56°F,45,73.94°F,52,72.86°F,50,74.12°F,78,41.36°F
2026-07-21,13:30,72.14°F,50,76.46°F,55,73.4°F,55,71.6°F,57,73.94°F,75,38.3°F
2026-07-21,17:00,70.16°F,54,76.64°F,52,72.68°F,52,69.98°F,55,73.76°F,80,37.22°F
2026-07-21,18:02,71.78°F,56,77°F,51,72.32°F,54,70.16°F,58,74.12°F,79,32.9°F
2026-07-21,19:00,71.78°F,56,75.92°F,51,73.04°F,57,69.08°F,58,74.12°F,81,34.34°F
2026-07-21,21:00,70.7°F,56,76.1°F,50,74.12°F,57,71.6°F,59,74.3°F,68,37.22°F
2026-07-21,23:01,72.32°F,56,76.28°F,50,73.4°F,55,72.32°F,54,74.3°F,67,39.38°F
2026-07-22,00:58,72.68°F,54,75.38°F,49,73.94°F,54,70.7°F,55,73.58°F,76,44.96°F
2026-07-22,06:00,71.96°F,54,75.74°F,48,73.58°F,56,72.68°F,55,73.58°F,78,37.94°F
2026-07-22,09:00,71.96°F,54,75.74°F,47,72.86°F,56,72.5°F,55,73.4°F,76,40.46°F
2026-07-22,13:30,71.96°F,54,75.38°F,46,73.04°F,52,72.5°F,50,73.58°F,62,33.8°F
2026-07-22,17:00,70.52°F,52,74.3°F,46,74.48°F,47,69.62°F,51,73.58°F,61,40.64°F
2026-07-22,18:02,69.98°F,52,77.18°F,45,75.38°F,50,72.68°F,50,74.66°F,59,37.22°F
2026-07-22,19:00,69.98°F,52,77.54°F,44,76.1°F,49,72.5°F,50,73.94°F,65,43.88°F
2026-07-22,21:00,68.72°F,54,75.92°F,44,75.02°F,44,69.8°F,45,74.12°F,59,39.02°F
2026-07-22,23:01,70.7°F,54,76.46°F,44,75.38°F,51,72.86°F,50,73.04°F,66,34.7°F
2026-07-23,00:58,71.6°F,54,76.28°F,44,75.38°F,52,73.04°F,52,71.96°F,67,35.96°F
2026-07-23,06:00,72.32°F,52,74.84°F,45,72.86°F,51,70.88°F,51,69.44°F,65,40.46°F
2026-07-23,07:48,72.32°F,52,74.48°F,45,71.96°F,51,69.62°F,52,68.72°F,67,40.64°F
2026-07-23,07:49,72.32°F,52,74.48°F,45,71.96°F,51,69.62°F,52,68.72°F,67,40.64°F
2026-07-23,09:00,72.32°F,52,74.48°F,46,71.6°F,51,69.8°F,53,68.18°F,68,37.4°F
2026-07-23,13:30,72.32°F,52,74.66°F,44,72.68°F,52,72.68°F,50,71.06°F,64,38.3°F
2026-07-23,17:00,70.16°F,52,75.74°F,44,73.76°F,49,69.8°F,48,72.5°F,67,43.34°F
2026-07-23,18:02,68.72°F,52,74.66°F,45,74.84°F,47,67.46°F,52,72.86°F,65,34.16°F
2026-07-23,19:00,68.36°F,52,74.66°F,44,75.02°F,48,71.06°F,51,73.04°F,60,40.28°F
2026-07-23,21:00,71.24°F,52,75.56°F,43,75.02°F,44,69.62°F,47,73.04°F,58,41.54°F
2026-07-23,22:15,69.8°F,52,76.64°F,44,74.84°F,47,71.06°F,50,72.5°F,64,38.12°F
2026-07-23,23:01,69.8°F,52,76.64°F,44,74.84°F,48,72.32°F,51,72.5°F,65,37.04°F
2026-07-24,00:58,71.96°F,52,76.64°F,44,75.56°F,51,72.86°F,52,71.96°F,68,44.42°F
2026-07-24,06:00,71.42°F,52,75.38°F,45,74.12°F,52,71.42°F,54,70.52°F,67,39.74°F
2026-07-24,09:00,72.32°F,52,74.84°F,44,73.58°F,59,72.32°F,56,70.52°F,64,31.64°F
2026-07-24,13:30,71.06°F,52,75.92°F,48,73.76°F,55,69.62°F,55,71.96°F,69,35.6°F
2026-07-24,17:00,71.06°F,54,75.2°F,48,74.48°F,51,69.8°F,55,73.22°F,69,34.34°F
